name,dr_change,bus_change
1960,0.063182598,234.9387534
1961,-0.180407722,225.933513
1962,0.108440268,230.2604613
1963,3.105253656,279.717634
1964,-0.402731571,289.0087593
1965,-0.105485232,310.3279258
1966,0.967969025,321.0941277
1967,4.57556214,317.4240841
1968,-0.158346529,323.4024867
1969,-0.409015025,347.3729625
1970,1.843935966,357.6567994
1971,1.613035964,383.6715064
1972,3.231554224,445.3501578
1973,10.56017574,661.022691
1974,17.32898098,799.9318441
1975,4.487722269,764.5665043
1976,2.633711507,886.2299721
1977,4.788224014,1027.292992
1978,4.860064586,1246.557739
1979,3.654467998,1576.049274
1980,6.674919535,1774.741454
1981,9.7,1769.099652
1982,5.81890003,1852.256996
1983,3.704235463,2047.771117
1984,3.897272601,2234.257498
1985,0.346458791,2000.147901
1986,0.737002855,1728.685344
1987,0.290007909,1947.80871
1988,2.556519453,2072.078295
1989,2.813200897,2216.250446
1990,2.617801047,2441.741991
1991,4.358333333,2653.526742
1992,4.7672283,3113.646333
1993,3.536585366,3433.163316
1994,3.724970554,3728.111974
1995,3.450575096,4329.707364
1996,3.488559459,4798.61314
1997,2.662514597,4637.865016
1998,5.270342003,3263.33385
1999,2.744561302,3492.669354
2000,1.534740237,4043.662051
2001,1.416784732,3913.428726
2002,1.807872463,4165.726104
2003,1.089676326,4461.847687
2004,1.421271159,4952.212975
2005,2.975070927,5587.02565
2006,3.609235642,6209.124508
2007,2.027353178,7243.455987
2008,5.440782211,8474.586829
2009,0.583308406,7292.494447
2010,1.622852356,9040.566251
2011,3.174470922,10399.37275
2012,1.663571025,10817.44287
2013,2.105012312,10970.12328
2014,3.142990509,11319.07976
2015,2.104389802,9955.243708
2016,2.090566595,9817.738457
2017,3.871201158,10259.18178
2018,0.884709161,11377.455
