Year,Import,Current ,Export
1974,5232925277,-538414668.1,4733146847
1975,4855075996,-491272532.4,4392210379
1976,5246353149,585857195,5865654173
1977,6373098047,446921321.7,6841146559
1978,8233444278,126940721.5,8385859498
1979,11481685983,941309074.9,12418425596
1980,15100487707,-265976587.4,14836348609
1981,16330711230,-2469050074,13878587321
1982,17867238550,-3585265856,14298672248
1983,19705331186,-3482175553,16217555202
1984,20699836797,-1656823249,19066907986
1985,18383098686,-600070478.1,17775779034
1986,16344742763,-101493674.4,16184754643
1987,18485192650,2575369613,20983170204
1988,22790354299,1867279335,24449139868
1989,28641024300,314525581.4,28817852649
1990,35485928185,-869910809.2,34513979389
1991,43782938595,-4182807690,39511769412
1992,48760231087,-2167322023,46420967921
1993,57934924702,-2990954102,54656490922
1994,73275225873,-4520137131,68525690449
1995,93618275804,-8643572906,85992110565
1996,98092861820,-4461946169,94813375107
1997,1.00E+11,-5935251479,95750319181
1998,72950469820,9528651059,84941678611
1999,83638842105,12603657895,97970763158
2000,1.04E+11,8487894737,1.14E+11
2001,94771052632,7286842368,1.04E+11
2002,1.00E+11,7189736842,1.10E+11
2003,1.06E+11,13381157895,1.22E+11
2004,1.29E+11,15079434211,1.48E+11
2005,1.42E+11,19979946360,1.67E+11
2006,1.60E+11,26199509355,1.91E+11
2007,1.83E+11,29770093208,2.17E+11
2008,1.98E+11,38914368952,2.42E+11
2009,1.60E+11,31800960631,1.98E+11
2010,2.02E+11,25643752186,2.34E+11
2011,2.32E+11,32491635332,2.71E+11
2012,2.41E+11,16315757810,2.63E+11
2013,2.43E+11,11205218343,2.59E+11
2014,2.45E+11,14846482443,2.66E+11
2015,2.08E+11,9067534382,2.22E+11
2016,2.01E+11,7132796677,2.13E+11
2017,2.23E+11,8960171430,2.36E+11
2018,2.47E+11,7590221354,2.60E+11
2018,2.47E+11,2.60E+11,15079434211
