Year,ODA,Reserves
1974,5.756835787,4.257651267
1975,8.075850274,4.174490777
1976,5.011753977,6.010609825
1977,5.504948094,5.78217868
1978,6.067284888,5.349576292
1979,9.256293417,5.231471444
1980,9.747005146,4.573361571
1981,10.09759555,3.6918511
1982,9.309518134,3.245507669
1983,11.84054125,2.845493661
1984,21.39439332,2.574869779
1985,14.53946179,3.705807789
1986,11.87753631,5.096751803
1987,21.91381174,5.565295861
1988,5.99090692,3.944082568
1989,7.844731613,3.659087727
1990,25.87601568,3.604414115
1991,15.54540892,3.211268415
1992,10.65324776,4.435743333
1993,4.824762343,5.837487844
1994,3.288199346,4.313414048
1995,5.210466991,3.165888365
1996,-21.72463667,3.412102565
1997,-11.14605127,2.571889811
1998,9.122458144,4.315645955
1999,6.439613153,4.437743927
2000,2.097502047,3.31032261
2001,1.237076752,3.779103726
2002,3.690455774,4.035129815
2003,4.466610314,5.007262129
2004,11.87861319,6.164837669
2005,1.137380474,5.943001358
2006,9.211524306,6.204070775
2007,7.565389023,6.704203768
2008,5.740562919,5.589263215
2009,5.044881787,7.244614621
2010,-0.217668472,6.341152099
2011,1.424385378,6.915595439
2012,0.630242861,6.96382782
2013,-3.845074136,6.667252439
2014,0.666966693,5.67002202
2015,-0.019820976,5.507770411
2016,-1.688783793,5.642709978
2017,-0.940362439,5.507607411
2018,-1.207792923,4.921936007
2019,,
